frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness
1600,12.3,0.1016,71.3,0.0337792
5000,1.5,0.3048,71.3,0.00336729
6300,1.5,0.3048,71.3,0.00336729
1600,0.0,0.0254,31.7,0.000439472
630,0.0,0.2286,31.7,0.0027238
630,0.0,0.3048,55.5,0.00283081
800,7.2,0.1524,71.3,0.00752039
8000,4.2,0.0508,39.6,0.00152689
3150,4.0,0.2286,55.5,0.0042862
630,17.4,0.0254,55.5,0.0165706
1000,8.9,0.1016,71.3,0.0103088
5000,0.0,0.1016,31.7,0.00150092
5000,8.9,0.1016,39.6,0.0124596
1250,15.4,0.0508,31.7,0.0289853
2500,6.7,0.1016,55.5,0.0052139
1000,0.0,0.1524,71.3,0.0015988
4000,7.2,0.1524,39.6,0.00909175
2500,8.4,0.0508,31.7,0.00580776
5000,3.3,0.1016,31.7,0.00251435
400,11.2,0.0508,71.3,0.014072
800,9.9,0.1524,39.6,0.0233328
1600,0.0,0.1016,71.3,0.00121072
3150,2.0,0.2286,31.7,0.00372371
800,17.4,0.0254,71.3,0.016104
6300,5.3,0.2286,39.6,0.00614329
500,2.0,0.2286,55.5,0.00313525
6300,3.3,0.1016,55.5,0.002211
500,5.4,0.1524,71.3,0.00401199
1250,0.0,0.3048,71.3,0.00266337
3150,0.0,0.3048,71.3,0.00266337
1600,0.0,0.1016,55.5,0.00131983
1600,4.0,0.2286,39.6,0.00473801
2500,17.4,0.0254,31.7,0.0176631
1250,0.0,0.1524,71.3,0.0015988
1000,5.4,0.1524,31.7,0.00525474
6300,0.0,0.0508,55.5,0.00076193
4000,8.9,0.1016,71.3,0.0103088
1600,0.0,0.2286,31.7,0.0027238
1600,4.8,0.0254,39.6,0.000907475
400,0.0,0.3048,39.6,0.00310138
315,8.9,0.1016,71.3,0.0103088
500,0.0,0.1524,39.6,0.00193287
2500,4.8,0.0254,31.7,0.000930789
2000,0.0,0.0254,31.7,0.000439472
2500,5.4,0.1524,39.6,0.00485029
5000,9.5,0.0254,71.3,0.00420654
3150,15.4,0.0508,55.5,0.0271925
1000,3.3,0.1016,31.7,0.00251435
1000,5.3,0.2286,39.6,0.00614329
2500,0.0,0.1016,55.5,0.00131983
1600,2.7,0.1524,39.6,0.00294804
1600,2.0,0.2286,39.6,0.00346574
500,4.0,0.2286,55.5,0.0042862
250,0.0,0.3048,39.6,0.00310138
630,5.3,0.2286,71.3,0.0051942
1600,2.7,0.1524,71.3,0.00243851
800,0.0,0.3048,31.7,0.00331266
8000,4.0,0.2286,39.6,0.00473801
2500,3.0,0.3048,55.5,0.00452492
3150,0.0,0.0254,31.7,0.000439472
5000,0.0,0.3048,31.7,0.00331266
1250,7.2,0.1524,39.6,0.00909175
1000,0.0,0.2286,31.7,0.0027238
2000,3.0,0.3048,39.6,0.00495741
315,9.9,0.1524,39.6,0.0233328
800,3.3,0.1016,55.5,0.002211
6300,12.3,0.1016,71.3,0.0337792
630,1.5,0.3048,39.6,0.00392107
6300,7.3,0.2286,39.6,0.0123481
1250,0.0,0.0508,55.5,0.00076193
5000,0.0,0.0254,31.7,0.000439472
630,19.7,0.0508,71.3,0.0341183
2500,0.0,0.1524,71.3,0.0015988
2500,5.4,0.1524,31.7,0.00525474
1000,12.7,0.0254,71.3,0.0121808
3150,0.0,0.0254,55.5,0.00041229
8000,0.0,0.1016,71.3,0.00121072
250,9.9,0.1524,39.6,0.0233328
1000,5.4,0.1524,55.5,0.00433288
800,9.9,0.1524,71.3,0.0193001
1000,4.0,0.2286,31.7,0.00509068
500,4.8,0.0254,39.6,0.000907475
1600,8.9,0.1016,39.6,0.0124596
5000,4.0,0.2286,39.6,0.00473801
800,0.0,0.1016,39.6,0.00146332
630,4.8,0.0254,31.7,0.000930789
630,0.0,0.1524,31.7,0.00209405
5000,7.2,0.1524,39.6,0.00909175
200,15.4,0.0508,55.5,0.0271925
800,17.4,0.0254,31.7,0.0176631
800,0.0,0.1016,31.7,0.00150092
250,9.9,0.1524,55.5,0.0208438
1250,1.5,0.3048,71.3,0.00336729
3150,0.0,0.1524,71.3,0.0015988
6300,4.8,0.0254,39.6,0.000907475
2500,3.0,0.3048,71.3,0.00425727
200,17.4,0.0254,39.6,0.0172206
400,17.4,0.0254,31.7,0.0176631
500,5.3,0.2286,39.6,0.00614329
315,0.0,0.2286,39.6,0.00253511
1000,4.0,0.2286,71.3,0.00400603
2000,4.2,0.0508,39.6,0.00152689
1250,2.7,0.1524,39.6,0.00294804
3150,5.3,0.2286,39.6,0.00614329
630,8.9,0.1016,71.3,0.0103088
1600,11.2,0.0508,39.6,0.0150478
1000,3.3,0.1016,39.6,0.00245138
3150,7.2,0.1524,39.6,0.00909175
500,6.7,0.1016,55.5,0.0052139
1250,15.4,0.0508,39.6,0.0282593
250,15.4,0.0508,55.5,0.0271925
500,0.0,0.2286,55.5,0.00229336
1600,0.0,0.1016,39.6,0.00146332
1600,6.7,0.1016,31.7,0.00592927
6300,3.0,0.3048,55.5,0.00452492
1000,7.3,0.2286,71.3,0.0104404
2500,0.0,0.1524,39.6,0.00193287
800,2.0,0.2286,55.5,0.00313525
200,15.4,0.0508,71.3,0.0264269
8000,0.0,0.0508,31.7,0.000812164
1250,0.0,0.0508,71.3,0.000740478
3150,0.0,0.2286,39.6,0.00253511
250,9.9,0.1524,71.3,0.0193001
5000,4.8,0.0254,71.3,0.000848633
1250,8.4,0.0508,71.3,0.00529514
1600,17.4,0.0254,71.3,0.016104
800,9.9,0.1524,55.5,0.0208438
1000,0.0,0.1016,55.5,0.00131983
630,0.0,0.2286,55.5,0.00229336
3150,3.0,0.3048,31.7,0.00529514
3150,8.4,0.0508,55.5,0.00544854
4000,1.5,0.3048,39.6,0.00392107
4000,0.0,0.0254,39.6,0.000428464
315,5.4,0.1524,39.6,0.00485029
800,12.7,0.0254,39.6,0.0130253
1600,4.0,0.3048,39.6,0.00579636
6300,2.0,0.2286,55.5,0.00313525
630,4.0,0.2286,39.6,0.00473801
5000,15.4,0.0508,31.7,0.0289853
1000,5.4,0.1524,39.6,0.00485029
400,5.3,0.2286,71.3,0.0051942
8000,3.0,0.3048,71.3,0.00425727
1250,15.4,0.0508,71.3,0.0264269
1250,0.0,0.0508,39.6,0.000791822
2000,4.8,0.0254,71.3,0.000848633
1000,15.4,0.0508,31.7,0.0289853
1250,17.4,0.0254,31.7,0.0176631
1600,17.4,0.0254,55.5,0.0165706
3150,3.3,0.1016,71.3,0.00202822
6300,4.0,0.2286,55.5,0.0042862
2000,17.4,0.0254,71.3,0.016104
1600,7.3,0.2286,55.5,0.0111706
8000,2.0,0.2286,71.3,0.00293031
2000,4.8,0.0254,55.5,0.000873218
3150,15.4,0.0508,31.7,0.0289853
400,4.0,0.2286,39.6,0.00473801
800,8.9,0.1016,39.6,0.0124596
200,17.4,0.0254,71.3,0.016104
315,2.0,0.2286,39.6,0.00346574
1600,15.4,0.0508,31.7,0.0289853
500,1.5,0.3048,39.6,0.00392107
4000,3.0,0.3048,71.3,0.00425727
250,11.2,0.0508,39.6,0.0150478
1600,0.0,0.3048,39.6,0.00310138
4000,4.8,0.0254,39.6,0.000907475
5000,0.0,0.1524,55.5,0.00172668
2500,0.0,0.1524,55.5,0.00172668
3150,4.8,0.0254,39.6,0.000907475
8000,0.0,0.1016,39.6,0.00146332
3150,8.4,0.0508,31.7,0.00580776
2000,1.5,0.3048,39.6,0.00392107
400,3.0,0.3048,71.3,0.00425727
1600,9.9,0.1524,71.3,0.0193001
6300,1.5,0.3048,39.6,0.00392107
2000,0.0,0.1524,39.6,0.00193287
4000,4.2,0.0508,39.6,0.00152689
315,15.4,0.0508,39.6,0.0282593
6300,0.0,0.1524,71.3,0.0015988
1250,0.0,0.1016,39.6,0.00146332
630,12.7,0.0254,71.3,0.0121808
1600,7.3,0.2286,39.6,0.0123481
800,0.0,0.1016,55.5,0.00131983
2500,0.0,0.0508,55.5,0.00076193
1000,8.4,0.0508,71.3,0.00529514
1600,3.0,0.3048,55.5,0.00452492
500,8.4,0.0508,39.6,0.00566229
1600,0.0,0.0508,55.5,0.00076193
2000,1.5,0.3048,71.3,0.00336729
1250,4.0,0.2286,71.3,0.00400603
2000,8.4,0.0508,55.5,0.00544854
630,2.0,0.2286,55.5,0.00313525
500,2.0,0.2286,71.3,0.00293031
630,4.0,0.3048,71.3,0.00497773
4000,3.3,0.1016,31.7,0.00251435
2000,7.3,0.2286,71.3,0.0104404
1250,3.0,0.3048,39.6,0.00495741
400,17.4,0.0254,39.6,0.0172206
400,2.0,0.2286,39.6,0.00346574
250,8.9,0.1016,71.3,0.0103088
6300,0.0,0.3048,71.3,0.00266337
6300,0.0,0.1524,55.5,0.00172668
250,9.5,0.0254,31.7,0.00461377
2000,7.3,0.2286,55.5,0.0111706
2500,15.4,0.0508,71.3,0.0264269
8000,12.7,0.0254,71.3,0.0121808
315,7.2,0.1524,71.3,0.00752039
4000,0.0,0.1524,39.6,0.00193287
1250,3.3,0.1016,31.7,0.00251435
500,4.0,0.3048,71.3,0.00497773
8000,2.7,0.1524,39.6,0.00294804
3150,3.3,0.1016,39.6,0.00245138
3150,5.4,0.1524,39.6,0.00485029
5000,0.0,0.2286,71.3,0.00214345
400,8.9,0.1016,71.3,0.0103088
6300,0.0,0.0254,31.7,0.000439472
1000,9.9,0.1524,31.7,0.0252785
2000,12.3,0.1016,71.3,0.0337792
4000,0.0,0.3048,71.3,0.00266337
2500,9.9,0.1524,55.5,0.0208438
2000,9.5,0.0254,71.3,0.00420654
2000,5.3,0.2286,39.6,0.00614329
2500,4.0,0.2286,31.7,0.00509068
2000,11.2,0.0508,39.6,0.0150478
1000,4.8,0.0254,31.7,0.000930789
2500,2.0,0.2286,39.6,0.00346574
2500,9.5,0.0254,39.6,0.00449821
800,12.7,0.0254,71.3,0.0121808
2500,19.7,0.0508,71.3,0.0341183
6300,0.0,0.0508,71.3,0.000740478
800,4.8,0.0254,31.7,0.000930789
4000,5.4,0.1524,55.5,0.00433288
6300,4.8,0.0254,55.5,0.000873218
400,11.2,0.0508,39.6,0.0150478
5000,0.0,0.1016,71.3,0.00121072
630,6.7,0.1016,39.6,0.00578076
800,0.0,0.1524,55.5,0.00172668
500,5.4,0.1524,39.6,0.00485029
1000,2.0,0.2286,71.3,0.00293031
1600,2.0,0.2286,71.3,0.00293031
3150,12.3,0.1016,71.3,0.0337792
800,0.0,0.2286,31.7,0.0027238
3150,1.5,0.3048,39.6,0.00392107
1250,4.0,0.3048,71.3,0.00497773
1000,9.5,0.0254,39.6,0.00449821
6300,17.4,0.0254,71.3,0.016104
4000,9.9,0.1524,31.7,0.0252785
1250,3.0,0.3048,31.7,0.00529514
8000,0.0,0.0254,71.3,0.000400682
4000,7.3,0.2286,39.6,0.0123481
2500,8.4,0.0508,39.6,0.00566229
1250,5.4,0.1524,71.3,0.00401199
800,9.5,0.0254,31.7,0.00461377
630,5.4,0.1524,71.3,0.00401199
400,8.4,0.0508,31.7,0.00580776
8000,5.3,0.2286,71.3,0.0051942
1000,7.3,0.2286,55.5,0.0111706
800,0.0,0.3048,71.3,0.00266337
4000,5.3,0.2286,39.6,0.00614329
1000,6.7,0.1016,55.5,0.0052139
6300,0.0,0.1524,31.7,0.00209405
630,0.0,0.1016,55.5,0.00131983
1000,19.7,0.0508,71.3,0.0341183
3150,4.8,0.0254,55.5,0.000873218
1600,0.0,0.2286,71.3,0.00214345
8000,0.0,0.1524,55.5,0.00172668
6300,3.0,0.3048,39.6,0.00495741
1600,4.2,0.0508,39.6,0.00152689
400,5.4,0.1524,39.6,0.00485029
1600,3.0,0.3048,71.3,0.00425727
800,8.9,0.1016,71.3,0.0103088
400,0.0,0.2286,55.5,0.00229336
1000,8.4,0.0508,55.5,0.00544854
400,7.3,0.2286,31.7,0.0132672
500,2.0,0.2286,39.6,0.00346574
315,1.5,0.3048,39.6,0.00392107
800,3.0,0.3048,31.7,0.00529514
4000,4.0,0.2286,55.5,0.0042862
1000,8.4,0.0508,39.6,0.00566229
1250,4.0,0.2286,31.7,0.00509068
400,8.9,0.1016,39.6,0.0124596
1250,12.7,0.0254,39.6,0.0130253
5000,2.7,0.1524,39.6,0.00294804
2000,0.0,0.1016,39.6,0.00146332
250,7.3,0.2286,71.3,0.0104404
2000,2.7,0.1524,39.6,0.00294804
2000,3.3,0.1016,31.7,0.00251435
1000,5.3,0.2286,71.3,0.0051942
2000,7.3,0.2286,31.7,0.0132672
1250,4.0,0.3048,39.6,0.00579636
500,0.0,0.3048,39.6,0.00310138
500,5.4,0.1524,55.5,0.00433288
6300,0.0,0.2286,55.5,0.00229336
1250,9.5,0.0254,31.7,0.00461377
3150,0.0,0.0254,71.3,0.000400682
4000,4.0,0.3048,39.6,0.00579636
6300,0.0,0.0254,55.5,0.00041229
800,0.0,0.0508,71.3,0.000740478
2000,0.0,0.2286,71.3,0.00214345
800,5.4,0.1524,55.5,0.00433288
315,17.4,0.0254,71.3,0.016104
1000,11.2,0.0508,39.6,0.0150478
800,2.7,0.1524,39.6,0.00294804
800,1.5,0.3048,39.6,0.00392107
800,3.3,0.1016,39.6,0.00245138
8000,7.2,0.1524,39.6,0.00909175
2500,0.0,0.0508,71.3,0.000740478
6300,2.0,0.2286,71.3,0.00293031
1250,0.0,0.2286,31.7,0.0027238
800,4.0,0.3048,39.6,0.00579636
1000,3.0,0.3048,31.7,0.00529514
3150,19.7,0.0508,71.3,0.0341183
2500,15.4,0.0508,55.5,0.0271925
3150,17.4,0.0254,71.3,0.016104
1000,0.0,0.2286,55.5,0.00229336
200,0.0,0.3048,31.7,0.00331266
4000,0.0,0.0508,31.7,0.000812164
4000,3.0,0.3048,55.5,0.00452492
630,9.5,0.0254,55.5,0.0043284
4000,7.2,0.1524,71.3,0.00752039
5000,8.4,0.0508,71.3,0.00529514
2500,17.4,0.0254,39.6,0.0172206
2000,6.7,0.1016,31.7,0.00592927
2500,2.7,0.1524,71.3,0.00243851
1250,0.0,0.1524,31.7,0.00209405
200,0.0,0.3048,39.6,0.00310138
4000,8.4,0.0508,39.6,0.00566229
1600,3.3,0.1016,31.7,0.00251435
315,15.4,0.0508,31.7,0.0289853
1600,17.4,0.0254,39.6,0.0172206
400,7.3,0.2286,71.3,0.0104404
1000,9.5,0.0254,71.3,0.00420654
1600,0.0,0.1016,31.7,0.00150092
500,7.3,0.2286,55.5,0.0111706
1600,8.4,0.0508,71.3,0.00529514
1000,0.0,0.1524,39.6,0.00193287
400,2.0,0.2286,31.7,0.00372371
2000,15.4,0.0508,31.7,0.0289853
4000,2.0,0.2286,71.3,0.00293031
2000,0.0,0.1524,55.5,0.00172668
200,7.3,0.2286,39.6,0.0123481
1000,15.4,0.0508,39.6,0.0282593
4000,0.0,0.2286,71.3,0.00214345
2500,0.0,0.3048,55.5,0.00283081
3150,0.0,0.1016,55.5,0.00131983
2500,4.8,0.0254,55.5,0.000873218
8000,4.8,0.0254,55.5,0.000873218
315,11.2,0.0508,71.3,0.014072
1000,9.9,0.1524,71.3,0.0193001
1600,1.5,0.3048,71.3,0.00336729
2500,2.0,0.2286,31.7,0.00372371
1250,6.7,0.1016,71.3,0.00478288
630,4.0,0.2286,71.3,0.00400603
1600,9.5,0.0254,71.3,0.00420654
6300,0.0,0.0508,31.7,0.000812164
630,7.3,0.2286,71.3,0.0104404
250,12.7,0.0254,71.3,0.0121808
400,8.4,0.0508,39.6,0.00566229
1250,4.8,0.0254,39.6,0.000907475
250,9.5,0.0254,39.6,0.00449821
2500,12.7,0.0254,39.6,0.0130253
1250,19.7,0.0508,71.3,0.0341183
800,5.4,0.1524,31.7,0.00525474
1600,9.5,0.0254,31.7,0.00461377
1600,0.0,0.0508,31.7,0.000812164
800,8.4,0.0508,39.6,0.00566229
6300,12.7,0.0254,71.3,0.0121808
1600,0.0,0.1524,39.6,0.00193287
5000,7.3,0.2286,55.5,0.0111706
1000,0.0,0.0508,39.6,0.000791822
3150,12.7,0.0254,39.6,0.0130253
1250,8.4,0.0508,55.5,0.00544854
1250,7.3,0.2286,31.7,0.0132672
3150,7.3,0.2286,71.3,0.0104404
250,7.3,0.2286,31.7,0.0132672
1000,1.5,0.3048,39.6,0.00392107
8000,3.3,0.1016,31.7,0.00251435
630,9.5,0.0254,39.6,0.00449821
6300,2.7,0.1524,39.6,0.00294804
8000,0.0,0.0254,31.7,0.000439472
3150,9.9,0.1524,55.5,0.0208438
500,3.0,0.3048,39.6,0.00495741
800,7.3,0.2286,31.7,0.0132672
4000,9.9,0.1524,71.3,0.0193001
200,9.9,0.1524,55.5,0.0208438
1250,3.0,0.3048,71.3,0.00425727
400,9.5,0.0254,39.6,0.00449821
500,6.7,0.1016,31.7,0.00592927
2000,8.4,0.0508,31.7,0.00580776
4000,2.7,0.1524,39.6,0.00294804
630,0.0,0.1016,71.3,0.00121072
3150,9.5,0.0254,31.7,0.00461377
2000,9.5,0.0254,31.7,0.00461377
500,0.0,0.3048,55.5,0.00283081
250,7.3,0.2286,39.6,0.0123481
500,15.4,0.0508,31.7,0.0289853
5000,5.4,0.1524,31.7,0.00525474
250,0.0,0.3048,31.7,0.00331266
2500,4.0,0.3048,39.6,0.00579636
630,7.3,0.2286,31.7,0.0132672
630,7.2,0.1524,39.6,0.00909175
800,2.0,0.2286,31.7,0.00372371
8000,4.8,0.0254,71.3,0.000848633
6300,7.3,0.2286,31.7,0.0132672
2500,0.0,0.0508,31.7,0.000812164
400,5.4,0.1524,31.7,0.00525474
630,6.7,0.1016,71.3,0.00478288
800,0.0,0.0508,39.6,0.000791822
2000,0.0,0.0508,31.7,0.000812164
630,0.0,0.1016,39.6,0.00146332
630,8.9,0.1016,39.6,0.0124596
400,4.0,0.3048,39.6,0.00579636
4000,9.5,0.0254,31.7,0.00461377
2000,2.0,0.2286,39.6,0.00346574
6300,9.5,0.0254,71.3,0.00420654
500,5.3,0.2286,71.3,0.0051942
800,9.5,0.0254,39.6,0.00449821
1250,0.0,0.3048,55.5,0.00283081
250,12.7,0.0254,39.6,0.0130253
800,4.0,0.2286,31.7,0.00509068
2500,11.2,0.0508,71.3,0.014072
400,9.9,0.1524,55.5,0.0208438
8000,0.0,0.1016,55.5,0.00131983
2500,0.0,0.0254,39.6,0.000428464
1250,0.0,0.0254,31.7,0.000439472
400,2.0,0.2286,71.3,0.00293031
8000,0.0,0.2286,71.3,0.00214345
1600,19.7,0.0508,71.3,0.0341183
500,3.0,0.3048,55.5,0.00452492
200,11.2,0.0508,71.3,0.014072
1600,5.4,0.1524,55.5,0.00433288
500,11.2,0.0508,71.3,0.014072
6300,0.0,0.3048,55.5,0.00283081
1600,5.3,0.2286,39.6,0.00614329
4000,8.4,0.0508,55.5,0.00544854
800,17.4,0.0254,55.5,0.0165706
8000,3.3,0.1016,39.6,0.00245138
1000,9.9,0.1524,55.5,0.0208438
250,17.4,0.0254,31.7,0.0176631
1600,5.3,0.2286,71.3,0.0051942
2000,0.0,0.1524,71.3,0.0015988
6300,3.3,0.1016,71.3,0.00202822
2500,0.0,0.2286,31.7,0.0027238
2500,0.0,0.2286,39.6,0.00253511
630,12.3,0.1016,71.3,0.0337792
1000,3.3,0.1016,55.5,0.002211
3150,3.0,0.3048,71.3,0.00425727
2500,0.0,0.0254,31.7,0.000439472
8000,1.5,0.3048,71.3,0.00336729
2000,12.7,0.0254,71.3,0.0121808
2500,4.0,0.2286,71.3,0.00400603
1600,4.2,0.0508,71.3,0.00142788
500,3.0,0.3048,71.3,0.00425727
4000,0.0,0.1524,71.3,0.0015988
1000,0.0,0.0254,31.7,0.000439472
4000,4.0,0.3048,71.3,0.00497773
1250,1.5,0.3048,39.6,0.00392107
6300,0.0,0.1016,71.3,0.00121072
500,15.4,0.0508,71.3,0.0264269
1600,7.2,0.1524,39.6,0.00909175
3150,0.0,0.1524,55.5,0.00172668
8000,4.2,0.0508,71.3,0.00142788
2000,0.0,0.2286,55.5,0.00229336
2000,2.0,0.2286,31.7,0.00372371
400,2.0,0.2286,55.5,0.00313525
6300,2.7,0.1524,71.3,0.00243851
500,8.9,0.1016,71.3,0.0103088
500,7.2,0.1524,71.3,0.00752039
1000,3.0,0.3048,39.6,0.00495741
250,9.9,0.1524,31.7,0.0252785
8000,0.0,0.1016,31.7,0.00150092
8000,15.4,0.0508,71.3,0.0264269
1000,8.4,0.0508,31.7,0.00580776
4000,5.4,0.1524,71.3,0.00401199
4000,9.9,0.1524,39.6,0.0233328
4000,0.0,0.0254,55.5,0.00041229
4000,17.4,0.0254,39.6,0.0172206
1600,9.5,0.0254,55.5,0.0043284
8000,3.0,0.3048,39.6,0.00495741
630,15.4,0.0508,71.3,0.0264269
2500,15.4,0.0508,39.6,0.0282593
800,3.0,0.3048,39.6,0.00495741
4000,0.0,0.1524,31.7,0.00209405
1250,8.4,0.0508,39.6,0.00566229
1250,17.4,0.0254,39.6,0.0172206
8000,0.0,0.3048,31.7,0.00331266
6300,9.9,0.1524,71.3,0.0193001
250,15.4,0.0508,71.3,0.0264269
3150,15.4,0.0508,39.6,0.0282593
1600,3.0,0.3048,39.6,0.00495741
2000,0.0,0.0508,71.3,0.000740478
315,12.7,0.0254,39.6,0.0130253
3150,0.0,0.0508,55.5,0.00076193
2000,3.0,0.3048,55.5,0.00452492
6300,9.9,0.1524,39.6,0.0233328
800,7.3,0.2286,71.3,0.0104404
1000,2.0,0.2286,31.7,0.00372371
1600,0.0,0.0508,71.3,0.000740478
250,15.4,0.0508,39.6,0.0282593
500,15.4,0.0508,39.6,0.0282593
4000,9.5,0.0254,71.3,0.00420654
630,0.0,0.3048,31.7,0.00331266
315,5.3,0.2286,39.6,0.00614329
1000,0.0,0.1016,71.3,0.00121072
8000,0.0,0.0254,55.5,0.00041229
315,11.2,0.0508,39.6,0.0150478
400,0.0,0.2286,39.6,0.00253511
1000,3.0,0.3048,55.5,0.00452492
